gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
GRK3,1.5959E-225,0.782519956,0.436,0.007,5.8067E-221,Prefrontal cortex
RPL10,8.3945E-225,0.670713054,0.359,0.003,3.0543E-220,Prefrontal cortex
IDS,5.2992E-223,0.500781814,0.291,0,1.928E-218,Prefrontal cortex
COLGALT1,1.1177E-222,0.594040015,0.35,0.002,4.0667E-218,Prefrontal cortex
LINC00623,1.5398E-217,0.657946862,0.368,0.003,5.6023E-213,Prefrontal cortex
DMD,1.0616E-215,0.799899097,0.427,0.007,3.8624E-211,Prefrontal cortex
LINC01684,2.9647E-215,0.663558887,0.333,0.002,1.0787E-210,Prefrontal cortex
STAG2,1.3394E-213,0.772147787,0.427,0.007,4.8732E-209,Prefrontal cortex
MUC20-OT1,1.4919E-212,0.675111154,0.393,0.005,5.428E-208,Prefrontal cortex
AC007262.2,8.6422E-212,0.717223535,0.359,0.003,3.1444E-207,Prefrontal cortex
HAMP,2.5799E-211,0.629923479,0.308,0.001,9.3867E-207,Prefrontal cortex
GMDS-DT,2.0995E-208,0.722010992,0.402,0.006,7.6389E-204,Prefrontal cortex
CASK,3.4042E-205,0.682053133,0.393,0.006,1.2386E-200,Prefrontal cortex
SLC26A3,2.4112E-204,0.95566,0.479,0.012,8.7731E-200,Prefrontal cortex
VSIG4,1.8001E-203,0.699004126,0.342,0.003,6.5495E-199,Prefrontal cortex
ARHGEF6,6.8414E-203,0.629360654,0.342,0.003,2.4892E-198,Prefrontal cortex
AC245297.3,1.2704E-201,0.723008115,0.402,0.007,4.6224E-197,Prefrontal cortex
LINC01094,2.8075E-199,0.643867016,0.359,0.004,1.0215E-194,Prefrontal cortex
OGT,1.1878E-198,0.582321788,0.342,0.003,4.3218E-194,Prefrontal cortex
AC005154.6,8.5427E-197,0.468083102,0.256,0,3.1082E-192,Prefrontal cortex
SELENOW,1.1552E-195,0.53933304,0.308,0.002,4.2031E-191,Prefrontal cortex
TPTEP2-CSNK1E,1.2962E-195,0.556566356,0.308,0.002,4.716E-191,Prefrontal cortex
RUBCNL,2.2272E-193,0.635366803,0.35,0.004,8.1034E-189,Prefrontal cortex
AC066613.2,4.6414E-193,0.546826594,0.291,0.001,1.6887E-188,Prefrontal cortex
HUWE1,7.2483E-193,0.608173898,0.35,0.004,2.6372E-188,Prefrontal cortex
TAF1,1.6998E-192,0.527377852,0.316,0.003,6.1847E-188,Prefrontal cortex
GDI1,4.9023E-192,0.531143034,0.282,0.001,1.7836E-187,Prefrontal cortex
RETREG1,4.4101E-191,0.582107183,0.308,0.002,1.6046E-186,Prefrontal cortex
AC013394.1,3.3735E-190,0.568390514,0.325,0.003,1.2274E-185,Prefrontal cortex
TRAF3IP2-AS1,7.9005E-189,0.623201581,0.333,0.004,2.8745E-184,Prefrontal cortex
AP003086.2,3.6305E-188,0.62058064,0.359,0.005,1.3209E-183,Prefrontal cortex
AC025569.1,8.2562E-187,0.545185007,0.282,0.001,3.0039E-182,Prefrontal cortex
ATP11C,3.3918E-186,0.573704576,0.325,0.003,1.2341E-181,Prefrontal cortex
LINC01410,5.9092E-184,0.493375696,0.256,0.001,2.15E-179,Prefrontal cortex
TENM4,6.9899E-182,0.681778927,0.359,0.006,2.5432E-177,Prefrontal cortex
LINC00894,2.8687E-180,0.552046108,0.299,0.003,1.0438E-175,Prefrontal cortex
AC116366.3,4.9564E-180,0.490423945,0.274,0.001,1.8033E-175,Prefrontal cortex
LINC02256,1.5989E-178,0.549763043,0.325,0.004,5.8173E-174,Prefrontal cortex
SHROOM4,1.1507E-177,0.587194672,0.333,0.005,4.1868E-173,Prefrontal cortex
AC120193.1,3.5142E-177,0.609427805,0.333,0.005,1.2786E-172,Prefrontal cortex
ARHGAP45,9.8241E-177,0.498751897,0.282,0.002,3.5744E-172,Prefrontal cortex
TAPT1-AS1,2.4403E-176,0.56738628,0.316,0.004,8.8787E-172,Prefrontal cortex
FAM214A,1.015E-175,0.540777091,0.299,0.003,3.6929E-171,Prefrontal cortex
BICRAL,1.2163E-173,0.552345219,0.308,0.003,4.4254E-169,Prefrontal cortex
CHM,1.5922E-172,0.518678159,0.316,0.004,5.7931E-168,Prefrontal cortex
PGK1,1.7353E-172,0.445805957,0.256,0.001,6.3136E-168,Prefrontal cortex
COL4A5,9.5304E-172,0.615889676,0.325,0.005,3.4675E-167,Prefrontal cortex
ATP5F1D,1.6878E-170,0.421659999,0.231,0,6.141E-166,Prefrontal cortex
GAB3,2.0042E-170,0.525874706,0.308,0.004,7.2921E-166,Prefrontal cortex
LINC01608,7.8877E-169,0.666581433,0.325,0.005,2.8698E-164,Prefrontal cortex
45175,1.0514E-168,0.471077474,0.265,0.002,3.8253E-164,Prefrontal cortex
CHIC1,1.0821E-168,0.490127742,0.265,0.002,3.937E-164,Prefrontal cortex
REPS2,1.286E-168,0.473530663,0.265,0.002,4.6788E-164,Prefrontal cortex
BRWD3,7.0204E-168,0.502770435,0.299,0.003,2.5543E-163,Prefrontal cortex
APOO,1.1396E-167,0.520787062,0.299,0.003,4.1462E-163,Prefrontal cortex
POLA1,2.9504E-167,0.489871115,0.282,0.003,1.0735E-162,Prefrontal cortex
MED14,4.4221E-166,0.447014389,0.248,0.001,1.6089E-161,Prefrontal cortex
PRKX,4.4221E-166,0.400798731,0.248,0.001,1.6089E-161,Prefrontal cortex
AC093152.1,8.9603E-166,0.564456779,0.274,0.002,3.2601E-161,Prefrontal cortex
GPR34,1.0808E-165,0.509214403,0.291,0.003,3.9323E-161,Prefrontal cortex
AFDN,1.4649E-165,0.536020178,0.291,0.003,5.3298E-161,Prefrontal cortex
SNHG25,4.1144E-164,0.41742397,0.214,0,1.497E-159,Prefrontal cortex
AC012368.1,1.4223E-162,0.491633698,0.256,0.002,5.1749E-158,Prefrontal cortex
AC027644.4,1.8585E-160,0.537653127,0.299,0.004,6.762E-156,Prefrontal cortex
STAB1,2.92E-160,0.848655726,0.47,0.018,1.0624E-155,Prefrontal cortex
AL365273.2,2.7124E-159,0.494818565,0.265,0.002,9.8688E-155,Prefrontal cortex
TMEM161B-AS1,5.0922E-159,0.646719278,0.333,0.006,1.8527E-154,Prefrontal cortex
RFX3-AS1,1.9562E-157,0.542135284,0.274,0.003,7.1173E-153,Prefrontal cortex
AC087564.1,5.9305E-156,0.598674589,0.316,0.005,2.1577E-151,Prefrontal cortex
AC006059.1,1.7906E-153,0.513402544,0.274,0.003,6.5148E-149,Prefrontal cortex
MACO1,2.913E-153,0.451693157,0.256,0.002,1.0599E-148,Prefrontal cortex
LINC01184,2.5312E-151,0.507632195,0.291,0.004,9.2097E-147,Prefrontal cortex
ATP5MC2,3.1947E-151,0.434757551,0.265,0.003,1.1623E-146,Prefrontal cortex
AC124312.1,4.4146E-151,0.470287917,0.265,0.003,1.6062E-146,Prefrontal cortex
MT-ND4L,4.472E-151,0.546834078,0.265,0.003,1.6271E-146,Prefrontal cortex
MINDY2,8.5728E-151,0.48935288,0.291,0.004,3.1191E-146,Prefrontal cortex
AL034397.3,1.2045E-149,0.424432863,0.239,0.002,4.3823E-145,Prefrontal cortex
RPS4X,1.4471E-149,0.432972902,0.239,0.002,5.2653E-145,Prefrontal cortex
LINC01141,3.7883E-149,0.47793507,0.256,0.003,1.3783E-144,Prefrontal cortex
MEF2C-AS1,4.5632E-149,0.735317575,0.342,0.008,1.6603E-144,Prefrontal cortex
GK,3.3535E-148,0.431710198,0.231,0.001,1.2201E-143,Prefrontal cortex
EDA,1.5978E-147,0.607360338,0.316,0.006,5.8134E-143,Prefrontal cortex
FAM222B,2.7703E-145,0.503766088,0.282,0.004,1.0079E-140,Prefrontal cortex
AC009063.2,4.6386E-145,0.440668891,0.239,0.002,1.6877E-140,Prefrontal cortex
MTREX,5.3268E-145,0.430098989,0.256,0.003,1.9381E-140,Prefrontal cortex
CSF2RA,6.2637E-145,0.587108612,0.325,0.007,2.279E-140,Prefrontal cortex
AL078590.3,8.8181E-144,0.487930979,0.265,0.003,3.2084E-139,Prefrontal cortex
LARGE1,1.8112E-142,0.484889905,0.274,0.004,6.5901E-138,Prefrontal cortex
NORAD,8.957E-142,0.445981576,0.222,0.001,3.2589E-137,Prefrontal cortex
VPS35L,9.4804E-142,0.519740063,0.291,0.005,3.4493E-137,Prefrontal cortex
ARMH4,2.2742E-141,0.499448666,0.256,0.003,8.2745E-137,Prefrontal cortex
RBMX,3.7498E-141,0.4658335,0.256,0.003,1.3643E-136,Prefrontal cortex
C1QC,1.9758E-140,0.942428765,0.547,0.033,7.1887E-136,Prefrontal cortex
ATP5F1E,2.988E-139,0.41119338,0.205,0.001,1.0872E-134,Prefrontal cortex
ATP6AP1,2.2738E-138,0.362967928,0.197,0.001,8.2728E-134,Prefrontal cortex
CA5B,2.4608E-138,0.380544681,0.197,0.001,8.9532E-134,Prefrontal cortex
AL359915.2,5.0246E-138,0.337826931,0.179,0,1.8281E-133,Prefrontal cortex
LINC00862,5.4046E-138,0.380212648,0.188,0,1.9664E-133,Prefrontal cortex
THUMPD3-AS1,4.9002E-137,0.389491252,0.222,0.002,1.7829E-132,Prefrontal cortex
ELMO1-AS1,5.1092E-137,0.380071166,0.222,0.002,1.8589E-132,Prefrontal cortex
LINC00320,9.2108E-137,0.43521097,0.239,0.003,3.3512E-132,Prefrontal cortex
WDR44,1.4673E-136,0.409484731,0.239,0.003,5.3387E-132,Prefrontal cortex
CARMIL1,3.0315E-136,0.524691493,0.274,0.005,1.103E-131,Prefrontal cortex
XIAP,2.0004E-135,0.353344317,0.214,0.001,7.2782E-131,Prefrontal cortex
DDX3X,2.0682E-134,0.419412426,0.231,0.002,7.5248E-130,Prefrontal cortex
DCAF1,5.9934E-134,0.372764598,0.205,0.001,2.1806E-129,Prefrontal cortex
PPP4R3A,5.6249E-133,0.467308957,0.239,0.003,2.0466E-128,Prefrontal cortex
TTN-AS1,6.3795E-133,0.477229547,0.239,0.003,2.3211E-128,Prefrontal cortex
AL162414.1,7.9705E-133,0.411275952,0.197,0.001,2.9E-128,Prefrontal cortex
AC096564.1,1.0964E-132,0.332739315,0.197,0.001,3.989E-128,Prefrontal cortex
AL159163.1,1.2589E-132,0.405833275,0.222,0.002,4.5803E-128,Prefrontal cortex
SELENOF,1.3467E-132,0.405705999,0.222,0.002,4.8997E-128,Prefrontal cortex
UTY,1.4158E-132,0.626584964,0.316,0.008,5.1514E-128,Prefrontal cortex
UBA6-AS1,6.81E-131,0.435914002,0.214,0.002,2.4778E-126,Prefrontal cortex
CTPS2,1.0741E-130,0.374596052,0.214,0.002,3.9081E-126,Prefrontal cortex
LINC01170,2.8303E-128,0.514144703,0.248,0.004,1.0298E-123,Prefrontal cortex
OTULINL,3.1464E-128,0.453279237,0.248,0.004,1.1448E-123,Prefrontal cortex
KANTR,4.0279E-128,0.435455564,0.248,0.004,1.4655E-123,Prefrontal cortex
GRIPAP1,1.3317E-127,0.380620905,0.197,0.001,4.8454E-123,Prefrontal cortex
AC104596.1,1.3513E-127,0.350450792,0.197,0.001,4.9167E-123,Prefrontal cortex
AC006148.1,1.4537E-127,0.399723348,0.197,0.001,5.2891E-123,Prefrontal cortex
SMARCA1,1.5782E-126,0.438944337,0.214,0.002,5.7423E-122,Prefrontal cortex
LINC01001,2.1411E-126,0.347086032,0.188,0.001,7.7901E-122,Prefrontal cortex
AC011933.4,2.8524E-126,0.306007974,0.188,0.001,1.0378E-121,Prefrontal cortex
LINC01736,1.702E-125,0.365933359,0.179,0.001,6.1925E-121,Prefrontal cortex
AL512625.3,5.2676E-125,0.342507878,0.171,0,1.9166E-120,Prefrontal cortex
AL133523.1,5.3147E-125,0.366718291,0.162,0,1.9337E-120,Prefrontal cortex
AC012593.1,8.033E-125,0.541168081,0.256,0.005,2.9227E-120,Prefrontal cortex
SELENOO,1.7302E-124,0.37122696,0.205,0.002,6.2951E-120,Prefrontal cortex
TBL1X,2.2706E-124,0.362989104,0.222,0.003,8.2612E-120,Prefrontal cortex
SELENOT,3.8973E-122,0.329428602,0.214,0.002,1.418E-117,Prefrontal cortex
AC098850.3,4.1042E-122,0.390422091,0.214,0.002,1.4933E-117,Prefrontal cortex
NLGN4Y,6.9287E-122,0.497240904,0.256,0.005,2.5209E-117,Prefrontal cortex
ATP5F1C,2.744E-121,0.310518587,0.188,0.001,9.9839E-117,Prefrontal cortex
BMT2,9.0218E-121,0.394249338,0.222,0.003,3.2825E-116,Prefrontal cortex
AC025159.1,3.2392E-120,0.390861496,0.205,0.002,1.1785E-115,Prefrontal cortex
AC090517.4,3.3261E-120,0.388294832,0.205,0.002,1.2102E-115,Prefrontal cortex
DHRSX,3.1971E-119,0.420946966,0.239,0.004,1.1632E-114,Prefrontal cortex
LINC01505,3.6217E-119,0.499113573,0.239,0.004,1.3177E-114,Prefrontal cortex
BST2,4.3108E-119,0.455766416,0.248,0.005,1.5685E-114,Prefrontal cortex
LINC00578,4.9895E-119,0.349726169,0.171,0.001,1.8154E-114,Prefrontal cortex
WAS,5.3945E-119,0.308587767,0.171,0.001,1.9627E-114,Prefrontal cortex
KCNMB2-AS1,6.0171E-119,0.299065339,0.171,0.001,2.1893E-114,Prefrontal cortex
LURAP1L-AS1,6.7115E-119,0.36011705,0.171,0.001,2.4419E-114,Prefrontal cortex
BDNF-AS,1.7104E-118,0.291395142,0.154,0,6.2231E-114,Prefrontal cortex
LINC00854,1.7104E-118,0.28636912,0.154,0,6.2231E-114,Prefrontal cortex
SMS,2.8062E-118,0.34298253,0.197,0.002,1.021E-113,Prefrontal cortex
AC091948.1,2.8445E-118,0.384404216,0.197,0.002,1.035E-113,Prefrontal cortex
AF117829.1,3.7817E-118,0.350591676,0.197,0.002,1.3759E-113,Prefrontal cortex
GRK2,1.8687E-117,0.445988696,0.222,0.003,6.7991E-113,Prefrontal cortex
SPART,3.7871E-117,0.359504375,0.222,0.003,1.3779E-112,Prefrontal cortex
SELENOP,4.697E-117,0.3816167,0.222,0.003,1.709E-112,Prefrontal cortex
LINC00609,1.0122E-116,0.495408023,0.265,0.006,3.6828E-112,Prefrontal cortex
AC106791.1,1.8187E-116,0.375900962,0.205,0.002,6.617E-112,Prefrontal cortex
ABCB7,1.8655E-116,0.357122017,0.188,0.001,6.7874E-112,Prefrontal cortex
SEMA6A-AS1,3.823E-116,0.376277325,0.205,0.002,1.3909E-111,Prefrontal cortex
BTK,8.4139E-115,0.29262075,0.179,0.001,3.0613E-110,Prefrontal cortex
AC007566.1,8.7922E-115,0.400994605,0.214,0.003,3.1989E-110,Prefrontal cortex
CEP128,9.1191E-115,0.450047502,0.214,0.003,3.3179E-110,Prefrontal cortex
AC027097.2,9.9986E-115,0.32725618,0.179,0.001,3.6379E-110,Prefrontal cortex
MTM1,4.0963E-114,0.365860606,0.197,0.002,1.4904E-109,Prefrontal cortex
LINC01004,4.1295E-114,0.410730744,0.222,0.003,1.5025E-109,Prefrontal cortex
DPH6-DT,5.536E-114,0.366701327,0.197,0.002,2.0142E-109,Prefrontal cortex
AC097376.2,8.1486E-114,0.463591187,0.231,0.004,2.9648E-109,Prefrontal cortex
GABPB1-AS1,3.1243E-113,0.425048504,0.239,0.005,1.1367E-108,Prefrontal cortex
REX1BD,1.6764E-112,0.275163052,0.162,0.001,6.0993E-108,Prefrontal cortex
SHLD2,2.6514E-112,0.38531269,0.205,0.003,9.6469E-108,Prefrontal cortex
UBA1,4.4356E-112,0.385743845,0.188,0.002,1.6139E-107,Prefrontal cortex
BCAP31,4.6804E-112,0.364106848,0.188,0.002,1.7029E-107,Prefrontal cortex
AC106869.1,5.467E-112,0.26213289,0.145,0,1.9891E-107,Prefrontal cortex
MCUB,5.9891E-112,0.284375431,0.154,0,2.1791E-107,Prefrontal cortex
AC139887.2,2.294E-111,0.38076869,0.214,0.003,8.3466E-107,Prefrontal cortex
KLHL4,9.405E-111,0.455353896,0.231,0.004,3.4219E-106,Prefrontal cortex
ABHD15-AS1,1.1683E-110,0.441562743,0.239,0.005,4.2509E-106,Prefrontal cortex
ZMAT1,1.5209E-110,0.421266606,0.239,0.005,5.5336E-106,Prefrontal cortex
MOSMO,2.7321E-110,0.391962319,0.197,0.002,9.9405E-106,Prefrontal cortex
AC004918.1,3.1974E-110,0.319087912,0.179,0.001,1.1633E-105,Prefrontal cortex
PIP4K2B,3.4261E-110,0.339318631,0.179,0.001,1.2465E-105,Prefrontal cortex
MT-ND5,6.9823E-109,0.454828175,0.256,0.006,2.5405E-104,Prefrontal cortex
C5orf17,1.4554E-108,0.371205547,0.171,0.001,5.2954E-104,Prefrontal cortex
LINC01630,3.8177E-108,0.443607978,0.222,0.004,1.389E-103,Prefrontal cortex
FAM13A-AS1,3.8571E-107,0.321486039,0.162,0.001,1.4034E-102,Prefrontal cortex
GPAT4,3.973E-107,0.283407064,0.162,0.001,1.4455E-102,Prefrontal cortex
NCK1-DT,3.973E-107,0.30633624,0.162,0.001,1.4455E-102,Prefrontal cortex
HLA-DRB5,1.7375E-106,0.396215195,0.197,0.003,6.3218E-102,Prefrontal cortex
MOSPD2,3.309E-106,0.310049832,0.154,0.001,1.2039E-101,Prefrontal cortex
ATP5F1B,4.5063E-106,0.27248132,0.154,0.001,1.6396E-101,Prefrontal cortex
ATP5MG,1.7359E-105,0.271825323,0.137,0,6.3159E-101,Prefrontal cortex
AC009690.1,8.1691E-105,0.356963729,0.222,0.004,2.9722E-100,Prefrontal cortex
AC008957.2,4.4847E-104,0.332515186,0.188,0.002,1.6317E-99,Prefrontal cortex
DGLUCY,4.9254E-104,0.350016203,0.188,0.002,1.7921E-99,Prefrontal cortex
CD99,5.9409E-104,0.333958084,0.188,0.002,2.1615E-99,Prefrontal cortex
CEP83,6.3118E-104,0.359691892,0.171,0.001,2.2965E-99,Prefrontal cortex
KRBOX4,2.9491E-102,0.305933519,0.162,0.001,1.073E-97,Prefrontal cortex
GUCY1A1,3.4452E-102,0.328328919,0.162,0.001,1.25349E-97,Prefrontal cortex
AC079015.1,3.8561E-102,0.388737408,0.222,0.005,1.403E-97,Prefrontal cortex
MIRLET7BHG,1.0397E-101,0.295238795,0.179,0.002,3.78279E-97,Prefrontal cortex
ENTPD3-AS1,8.311E-101,0.284245778,0.154,0.001,3.02389E-96,Prefrontal cortex
USP11,8.6853E-101,0.289817878,0.154,0.001,3.16006E-96,Prefrontal cortex
AC096711.2,9.2106E-101,0.311667894,0.154,0.001,3.35118E-96,Prefrontal cortex
TENT4B,9.823E-101,0.354008893,0.188,0.003,3.57401E-96,Prefrontal cortex
DUBR,8.4085E-100,0.377770752,0.197,0.003,3.05933E-95,Prefrontal cortex
ITGB2,8.426E-100,0.718745409,0.453,0.033,3.06571E-95,Prefrontal cortex
MECP2,9.5424E-100,0.360747709,0.197,0.003,3.47189E-95,Prefrontal cortex
AC079447.1,9.7548E-100,0.335354131,0.171,0.002,3.54918E-95,Prefrontal cortex
MTRNR2L12,1.0147E-99,0.3715263,0.171,0.002,3.69181E-95,Prefrontal cortex
CDKL5,1.1124E-99,0.316160109,0.171,0.002,4.04725E-95,Prefrontal cortex
MRE11,1.3022E-99,0.31730158,0.171,0.002,4.73779E-95,Prefrontal cortex
RETREG3,1.3194E-99,0.292324434,0.171,0.002,4.80038E-95,Prefrontal cortex
AC108062.1,5.4768E-99,0.255138471,0.128,0,1.99268E-94,Prefrontal cortex
PCSK1N,5.4768E-99,0.236824247,0.128,0,1.99268E-94,Prefrontal cortex
RBM41,6.54897E-98,0.29066508,0.179,0.002,2.38278E-93,Prefrontal cortex
AC244453.3,7.92913E-98,0.318899412,0.162,0.001,2.88493E-93,Prefrontal cortex
OPHN1,3.83937E-97,0.385159767,0.188,0.003,1.39692E-92,Prefrontal cortex
AL139260.1,4.26532E-97,0.331974117,0.188,0.003,1.55189E-92,Prefrontal cortex
AC109927.1,4.61717E-96,0.32973815,0.154,0.001,1.67991E-91,Prefrontal cortex
HPN-AS1,6.37049E-96,0.264076706,0.154,0.001,2.31784E-91,Prefrontal cortex
LINC02328,6.64354E-96,0.322597359,0.154,0.001,2.41719E-91,Prefrontal cortex
OLMALINC,8.06225E-96,0.32159654,0.171,0.002,2.93337E-91,Prefrontal cortex
TAZ,1.70317E-94,0.260299289,0.145,0.001,6.19681E-90,Prefrontal cortex
RRAGB,2.0282E-94,0.270799926,0.145,0.001,7.37939E-90,Prefrontal cortex
SHLD1,5.09377E-94,0.380381758,0.188,0.003,1.85332E-89,Prefrontal cortex
CPB2-AS1,5.76943E-94,0.351229434,0.188,0.003,2.09915E-89,Prefrontal cortex
ARMCX4,6.60884E-94,0.346118173,0.188,0.003,2.40456E-89,Prefrontal cortex
AL592183.1,7.43826E-94,0.343800688,0.205,0.004,2.70634E-89,Prefrontal cortex
AC053527.1,8.28453E-94,0.367645063,0.197,0.004,3.01424E-89,Prefrontal cortex
LNPK,1.58442E-93,0.276601767,0.162,0.002,5.76475E-89,Prefrontal cortex
PAXX,3.13477E-93,0.283810545,0.137,0.001,1.14056E-88,Prefrontal cortex
AP002884.1,1.50756E-92,0.256876203,0.128,0,5.48512E-88,Prefrontal cortex
OCRL,1.55688E-92,0.241410809,0.128,0,5.66456E-88,Prefrontal cortex
AL137145.2,1.71737E-92,0.244049054,0.12,0,6.24849E-88,Prefrontal cortex
AL139125.1,1.71737E-92,0.247428857,0.12,0,6.24849E-88,Prefrontal cortex
ATP5MPL,1.71737E-92,0.219391482,0.12,0,6.24849E-88,Prefrontal cortex
FCGR3A,2.56769E-92,0.603192716,0.333,0.018,9.34227E-88,Prefrontal cortex
FCGBP,4.54377E-92,0.752140801,0.393,0.027,1.6532E-87,Prefrontal cortex
LINC00639,8.87452E-92,0.405172749,0.214,0.005,3.22891E-87,Prefrontal cortex
TENT4A,1.60608E-91,0.288748023,0.154,0.001,5.84358E-87,Prefrontal cortex
