"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033044","GO:0033044","regulation of chromosome organization","35/442","247/18870",1.04878722247523e-17,1.39838296330031e-15,1.24750480147054e-15,"TOP2A/CENPF/NCAPG/BUB1/NDC80/NCAPH/DLGAP5/BIRC5/CDCA8/AURKB/BUB1B/SMC4/FBXO5/SPC25/TTK/TACC3/NCAPG2/ESPL1/NUF2/MAD2L1/TRIP13/CENPE/ZWILCH/NCAPD2/KNTC1/NSMCE4A/RB1/RUVBL2/DDX11/ATF7IP/MAD2L2/DKC1/ANAPC11/NSMCE1/GEN1",35
"GO:0045930","GO:0045930","negative regulation of mitotic cell cycle","35/442","248/18870",1.19529063927278e-17,1.53680225049357e-15,1.37098937609821e-15,"CENPF/GTSE1/BUB1/EZH2/NDC80/BIRC5/DTL/CDCA8/AURKB/BUB1B/FBXO5/EME1/SPC25/E2F7/BARD1/TTK/BRCA1/RFWD3/NUF2/CLSPN/MAD2L1/TRIP13/ZWILCH/FANCD2/KNTC1/BLM/BTG3/ORC1/RB1/RBL1/MAD2L2/BRINP3/GEN1/CCNG1/RBBP8",35
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","23/442","94/18870",1.92649350483048e-17,2.35365732868845e-15,2.09971009059311e-15,"CENPF/BUB1/NDC80/DLGAP5/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/TACC3/ESPL1/NUF2/MAD2L1/TRIP13/CENPE/ZWILCH/KNTC1/RB1/MAD2L2/ANAPC11/GEN1",23
"GO:0045787","GO:0045787","positive regulation of cell cycle","40/442","334/18870",1.96138110724037e-17,2.35365732868845e-15,2.09971009059311e-15,"CDC25C/RRM2/BRCA2/NCAPG/BUB1/EZH2/NDC80/NCAPH/DLGAP5/KIF14/BIRC5/DTL/CDCA8/AURKB/NUSAP1/SMC4/ECT2/KIF23/FBXO5/E2F7/NCAPG2/STIL/ESPL1/RACGAP1/MAD2L1/ATAD5/NCAPD2/RB1/DDX11/HCFC1/PSRC1/CIT/ANAPC11/TTL/RANBP1/MSX1/RAD51B/ASCL1/RAD18/GEN1",40
"GO:1901991","GO:1901991","negative regulation of mitotic cell cycle phase transition","31/442","196/18870",3.34402760886325e-17,3.88338690061538e-15,3.46438989291741e-15,"CENPF/GTSE1/BUB1/EZH2/NDC80/BIRC5/DTL/CDCA8/AURKB/BUB1B/FBXO5/SPC25/E2F7/BARD1/TTK/BRCA1/RFWD3/NUF2/CLSPN/MAD2L1/TRIP13/ZWILCH/KNTC1/BLM/ORC1/RB1/RBL1/MAD2L2/GEN1/CCNG1/RBBP8",31
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle","23/442","97/18870",4.10740220910743e-17,4.62082748524586e-15,4.12226451973249e-15,"CENPF/BUB1/NDC80/DLGAP5/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/TACC3/ESPL1/NUF2/MAD2L1/TRIP13/CENPE/ZWILCH/KNTC1/RB1/MAD2L2/ANAPC11/GEN1",23
"GO:0051783","GO:0051783","regulation of nuclear division","27/442","146/18870",6.49616996037111e-17,7.08673086585939e-15,6.32210990401667e-15,"MKI67/CENPF/CDC25C/BUB1/NDC80/DLGAP5/CDCA2/BIRC5/CDCA8/AURKB/BUB1B/NUSAP1/FBXO5/SPC25/TTK/ESPL1/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/RB1/RCC1/MAD2L2/ANAPC11/MSX1/GEN1",27
"GO:0090068","GO:0090068","positive regulation of cell cycle process","35/442","262/18870",6.97352894442853e-17,7.38373652939492e-15,6.58707021964441e-15,"CDC25C/RRM2/NCAPG/BUB1/EZH2/NDC80/NCAPH/DLGAP5/KIF14/BIRC5/DTL/CDCA8/AURKB/NUSAP1/SMC4/ECT2/KIF23/FBXO5/E2F7/NCAPG2/STIL/ESPL1/RACGAP1/MAD2L1/ATAD5/NCAPD2/RB1/DDX11/CIT/ANAPC11/RANBP1/MSX1/RAD51B/RAD18/GEN1",35
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition","22/442","90/18870",9.9346667487768e-17,1.02185143701704e-14,9.11599045128361e-15,"CENPF/BUB1/NDC80/DLGAP5/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/ESPL1/NUF2/MAD2L1/TRIP13/CENPE/ZWILCH/KNTC1/RB1/MAD2L2/ANAPC11/GEN1",22
"GO:1902099","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","22/442","93/18870",2.11434501766427e-16,2.09960228731402e-14,1.87306625105119e-14,"CENPF/BUB1/NDC80/DLGAP5/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/ESPL1/NUF2/MAD2L1/TRIP13/CENPE/ZWILCH/KNTC1/RB1/MAD2L2/ANAPC11/GEN1",22
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","23/442","104/18870",2.15792457307274e-16,2.09960228731402e-14,1.87306625105119e-14,"CENPF/BUB1/NDC80/DLGAP5/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/TACC3/ESPL1/NUF2/MAD2L1/TRIP13/CENPE/ZWILCH/KNTC1/RB1/MAD2L2/ANAPC11/GEN1",23
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","17/442","48/18870",3.0905282372579e-16,2.71363454978743e-14,2.42084766415247e-14,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",17
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","17/442","48/18870",3.0905282372579e-16,2.71363454978743e-14,2.42084766415247e-14,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",17
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","17/442","48/18870",3.0905282372579e-16,2.71363454978743e-14,2.42084766415247e-14,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",17
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","17/442","48/18870",3.0905282372579e-16,2.71363454978743e-14,2.42084766415247e-14,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",17
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","17/442","50/18870",6.86837769937092e-16,5.61958175403075e-14,5.01325845951691e-14,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",17
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","17/442","50/18870",6.86837769937092e-16,5.61958175403075e-14,5.01325845951691e-14,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",17
"GO:1905819","GO:1905819","negative regulation of chromosome separation","17/442","50/18870",6.86837769937092e-16,5.61958175403075e-14,5.01325845951691e-14,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",17
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","17/442","54/18870",3.0177776912566e-15,2.41422215300528e-13,2.15374028912839e-13,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",17
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","16/442","46/18870",3.26741857449843e-15,2.45056393087382e-13,2.18616098043744e-13,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",16
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling","16/442","46/18870",3.26741857449843e-15,2.45056393087382e-13,2.18616098043744e-13,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",16
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","16/442","46/18870",3.26741857449843e-15,2.45056393087382e-13,2.18616098043744e-13,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",16
"GO:0031577","GO:0031577","spindle checkpoint signaling","16/442","47/18870",4.84857088470158e-15,3.56221534386239e-13,3.17787105676145e-13,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",16
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","17/442","56/18870",6.00774659565077e-15,4.32557754886856e-13,3.85887049754327e-13,"CENPF/BUB1/NDC80/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/MAD2L2/GEN1",17
"GO:0006310","GO:0006310","DNA recombination","37/442","340/18870",7.29018793419411e-15,5.14601501237231e-13,4.59078707682688e-13,"TOP2A/BRCA2/EXO1/BRIP1/EME1/HMGB2/BARD1/CDC45/MMS22L/BRCA1/RAD54L/RFWD3/POLQ/TRIP13/PSMC3IP/MND1/PARPBP/ATAD5/FANCD2/GINS2/MCM2/BLM/WRAP53/NSMCE4A/RAD51/HMGB3/RUVBL2/UNG/MAD2L2/FUS/RECQL/RAD51B/KDM1A/NSMCE1/XRCC2/GEN1/RBBP8",37
"GO:0006302","GO:0006302","double-strand break repair","35/442","307/18870",9.81633150122599e-15,6.79592180854107e-13,6.06267761340901e-13,"BRCA2/ESCO2/BRIP1/EME1/HMGB2/FOXM1/CDC45/MMS22L/BRCA1/RAD54L/RFWD3/DEK/POLQ/TRIP13/PARPBP/FANCD2/GINS2/MCM2/BLM/WRAP53/NSMCE4A/POLA1/RAD51/RUVBL2/DDX11/MAD2L2/FUS/TDP1/RECQL/RAD51B/KDM1A/NSMCE1/XRCC2/GEN1/RBBP8",35
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","40/442","408/18870",1.91712800599568e-14,1.30220015501593e-12,1.16169961197474e-12,"TPX2/CENPF/ASPM/NDC80/DLGAP5/CENPK/BIRC5/CDCA8/AURKB/PDGFRA/PRC1/KIF23/KIF4A/WDR62/FBXO5/STIL/BRCA1/RACGAP1/ANLN/CEP152/CEP135/CENPE/KNTC1/TUBB/G3BP1/HAUS8/CEP44/SMC1A/HAUS5/MZT1/MAPRE1/RCC1/FSCN1/CENPH/TUBGCP3/CEP97/CCP110/KIF2A/CNTROB/CEP192",40
"GO:0050000","GO:0050000","chromosome localization","22/442","116/18870",2.95455908532997e-14,1.96970605688665e-12,1.75718514022256e-12,"CENPF/NDC80/DLGAP5/KIF14/BIRC5/CDCA8/AURKB/ECT2/SPC25/KIF2C/RACGAP1/NUF2/CENPE/ZWILCH/KNTC1/NDE1/RB1/CENPQ/MAPRE1/PSRC1/TTL/DSN1",22
