"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","52/314","470/18870",6.84590105137733e-28,2.09111159387526e-25,1.79827735751491e-25,"EZH2/CENPF/RRM2/CDC25C/CENPE/CDKN2C/KIF14/BARD1/BUB1/CDCA8/GTSE1/NUF2/SPC25/NDC80/IQGAP3/DLGAP5/DTL/BUB1B/STIL/BIRC5/AURKB/TACC3/BRCA1/ANLN/FBXO5/FOXM1/KNTC1/CDKN3/CCNB1/TTK/BLM/UBE2S/E2F7/CCL2/RFWD3/CLSPN/ESPL1/CCNA2/CDKN2D/ATAD5/UBE2C/RB1/CDC20/BACH1/MAD2L1/GPNMB/TRIP13/E2F1/GEN1/ZWILCH/AURKA/MAD2L2",52
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","51/314","456/18870",1.39960451812137e-27,3.91889265073983e-25,3.37010035284488e-25,"EZH2/CENPF/RRM2/CDC25C/CENPE/CDKN2C/KIF14/BRCA2/BARD1/BRIP1/BUB1/CDCA8/GTSE1/NUF2/SPC25/NDC80/DLGAP5/DTL/BUB1B/STIL/BIRC5/AURKB/BRCA1/ANLN/FBXO5/EME1/WDR76/KNTC1/CCNB1/TTK/BLM/E2F7/CCL2/RFWD3/CLSPN/ESPL1/CDKN2D/ATAD5/CDC45/UBE2C/RB1/CDC20/MAD2L1/GPNMB/TRIP13/E2F1/GEN1/ZWILCH/AURKA/FANCD2/MAD2L2",51
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","45/314","355/18870",1.10823953266662e-26,2.86437294596911e-24,2.46325305033998e-24,"EZH2/CENPF/RRM2/CDC25C/CENPE/CDKN2C/KIF14/BARD1/BUB1/CDCA8/GTSE1/NUF2/SPC25/NDC80/DLGAP5/DTL/BUB1B/STIL/BIRC5/AURKB/BRCA1/ANLN/FBXO5/KNTC1/CCNB1/TTK/BLM/E2F7/CCL2/RFWD3/CLSPN/ESPL1/CDKN2D/ATAD5/UBE2C/RB1/CDC20/MAD2L1/GPNMB/TRIP13/E2F1/GEN1/ZWILCH/AURKA/MAD2L2",45
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","23/314","59/18870",4.56751999941568e-26,1.09620479985976e-23,9.42694917172634e-24,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/ESPL1/UBE2C/RB1/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",23
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","29/314","118/18870",6.02260823474233e-26,1.34906424458228e-23,1.16014453363984e-23,"CENPF/MKI67/CDC25C/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/CDCA2/BIRC5/AURKB/FBXO5/NUSAP1/KNTC1/CCNB1/TTK/ESPL1/UBE2C/RB1/CDC20/BORA/MAD2L1/TRIP13/GEN1/ZWILCH/AURKA/MAD2L2",29
"GO:0051306","GO:0051306","mitotic sister chromatid separation","23/314","62/18870",1.80743729786048e-25,3.795618325507e-23,3.26408906751777e-23,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/ESPL1/UBE2C/RB1/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",23
"GO:1901988","GO:1901988","negative regulation of cell cycle phase transition","39/314","277/18870",6.46116966302566e-25,1.27703118045684e-22,1.09819880650189e-22,"EZH2/CENPF/BRCA2/BARD1/BRIP1/BUB1/CDCA8/GTSE1/NUF2/SPC25/NDC80/DTL/BUB1B/BIRC5/AURKB/BRCA1/FBXO5/EME1/WDR76/KNTC1/CCNB1/TTK/BLM/E2F7/CCL2/RFWD3/CLSPN/CDKN2D/CDC45/RB1/CDC20/MAD2L1/GPNMB/TRIP13/E2F1/GEN1/ZWILCH/FANCD2/MAD2L2",39
"GO:0010948","GO:0010948","negative regulation of cell cycle process","41/314","320/18870",1.53452629234525e-24,2.86444907904447e-22,2.46331852192264e-22,"EZH2/CENPF/BRCA2/BARD1/BRIP1/BUB1/CDCA8/GTSE1/NUF2/SPC25/NDC80/DTL/BUB1B/BIRC5/AURKB/BRCA1/FBXO5/EME1/WDR76/KNTC1/CCNB1/TTK/BLM/E2F7/CCL2/RFWD3/CLSPN/ESPL1/CDKN2D/CDC45/RB1/CDC20/MAD2L1/GPNMB/TRIP13/GPER1/E2F1/GEN1/ZWILCH/FANCD2/MAD2L2",41
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","25/314","94/18870",1.89021023599071e-23,3.34268757522567e-21,2.87458564974764e-21,"CENPF/CENPE/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/BIRC5/AURKB/TACC3/FBXO5/KNTC1/CCNB1/TTK/ESPL1/UBE2C/RB1/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",25
"GO:0051783","GO:0051783","regulation of nuclear division","29/314","146/18870",4.15251653774283e-23,6.97622778340795e-21,5.99929362952845e-21,"CENPF/MKI67/CDC25C/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/CDCA2/BIRC5/AURKB/FBXO5/NUSAP1/KNTC1/CCNB1/TTK/ESPL1/UBE2C/RB1/CDC20/BORA/MAD2L1/TRIP13/GEN1/ZWILCH/AURKA/MAD2L2",29
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle","25/314","97/18870",4.46883606804934e-23,7.15013770887895e-21,6.14884962746639e-21,"CENPF/CENPE/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/BIRC5/AURKB/TACC3/FBXO5/KNTC1/CCNB1/TTK/ESPL1/UBE2C/RB1/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",25
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","32/314","192/18870",6.54279026959443e-23,9.99262513901695e-21,8.59328195695537e-21,"CENPF/BRCA2/BARD1/BRIP1/BUB1/CDCA8/GTSE1/NUF2/SPC25/NDC80/DTL/BUB1B/BIRC5/AURKB/BRCA1/EME1/WDR76/KNTC1/CCNB1/TTK/BLM/RFWD3/CLSPN/CDC45/CDC20/MAD2L1/TRIP13/E2F1/GEN1/ZWILCH/FANCD2/MAD2L2",32
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition","24/314","90/18870",1.37692532110113e-22,2.01150829517382e-20,1.72982151323688e-20,"CENPF/CENPE/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/ESPL1/UBE2C/RB1/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",24
"GO:0045786","GO:0045786","negative regulation of cell cycle","43/314","407/18870",2.48821252224116e-22,3.48349753113762e-20,2.99567691822455e-20,"EZH2/CENPF/BRCA2/BARD1/BRIP1/BUB1/CDCA8/GTSE1/NUF2/SPC25/NDC80/DTL/BUB1B/BIRC5/AURKB/BRCA1/FBXO5/EME1/WDR76/KNTC1/CCNB1/TTK/GMNN/BLM/E2F7/CCL2/RFWD3/CLSPN/ESPL1/CDKN2D/CDC45/RB1/CDC20/MAD2L1/BRINP3/GPNMB/TRIP13/GPER1/E2F1/GEN1/ZWILCH/FANCD2/MAD2L2",43
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","25/314","104/18870",2.95085991493867e-22,3.96595572567757e-20,3.4105728280028e-20,"CENPF/CENPE/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/BIRC5/AURKB/TACC3/FBXO5/KNTC1/CCNB1/TTK/ESPL1/UBE2C/RB1/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",25
"GO:1902099","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","24/314","93/18870",3.26111002571098e-22,4.21435757168804e-20,3.62418907715653e-20,"CENPF/CENPE/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/ESPL1/UBE2C/RB1/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",24
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","19/314","48/18870",6.89026973924476e-22,7.71710210795413e-20,6.63641769621995e-20,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",19
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","19/314","48/18870",6.89026973924476e-22,7.71710210795413e-20,6.63641769621995e-20,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",19
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","19/314","48/18870",6.89026973924476e-22,7.71710210795413e-20,6.63641769621995e-20,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",19
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","19/314","48/18870",6.89026973924476e-22,7.71710210795413e-20,6.63641769621995e-20,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",19
"GO:1901991","GO:1901991","negative regulation of mitotic cell cycle phase transition","31/314","196/18870",1.60125982624176e-21,1.73555903747494e-19,1.49251552564809e-19,"EZH2/CENPF/BARD1/BUB1/CDCA8/GTSE1/NUF2/SPC25/NDC80/DTL/BUB1B/BIRC5/AURKB/BRCA1/FBXO5/KNTC1/CCNB1/TTK/BLM/E2F7/CCL2/RFWD3/CLSPN/RB1/CDC20/MAD2L1/GPNMB/TRIP13/GEN1/ZWILCH/MAD2L2",31
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","19/314","50/18870",1.76159014970507e-21,1.74086555970854e-19,1.49707893527567e-19,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",19
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","19/314","50/18870",1.76159014970507e-21,1.74086555970854e-19,1.49707893527567e-19,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",19
"GO:1905819","GO:1905819","negative regulation of chromosome separation","19/314","50/18870",1.76159014970507e-21,1.74086555970854e-19,1.49707893527567e-19,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",19
"GO:0045930","GO:0045930","negative regulation of mitotic cell cycle","34/314","248/18870",1.90966820152423e-21,1.83328147346326e-19,1.57655314682226e-19,"EZH2/CENPF/BARD1/BUB1/CDCA8/GTSE1/NUF2/SPC25/NDC80/DTL/BUB1B/BIRC5/AURKB/BRCA1/FBXO5/EME1/KNTC1/CCNB1/TTK/BLM/E2F7/CCL2/RFWD3/CLSPN/RB1/CDC20/MAD2L1/BRINP3/GPNMB/TRIP13/GEN1/ZWILCH/FANCD2/MAD2L2",34
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint signaling","27/314","142/18870",4.64296735812944e-21,4.33343620092081e-19,3.72659222165652e-19,"CENPF/BARD1/BUB1/CDCA8/GTSE1/NUF2/SPC25/NDC80/DTL/BUB1B/BIRC5/AURKB/BRCA1/EME1/KNTC1/CCNB1/TTK/BLM/RFWD3/CLSPN/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/FANCD2/MAD2L2",27
"GO:0006260","GO:0006260","DNA replication","35/314","278/18870",8.27668220821577e-21,7.51612222151486e-19,6.46358254951701e-19,"RRM2/BRCA2/BARD1/DTL/MMS22L/PRIM2/ESCO2/BRCA1/ORC6/PCNA/FBXO5/EME1/RBMS1/GMNN/BLM/POLQ/E2F7/RFWD3/LIG1/GINS1/S100A11/CCNA2/POLA1/ATAD5/CDC45/POLE2/RFC3/ACVRL1/PRIM1/GEN1/JADE3/RFC5/MCM2/GINS2/DDX11",35
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","19/314","54/18870",1.00209134419093e-20,8.86059714863562e-19,7.61978044267067e-19,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",19
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","18/314","46/18870",1.0877523603908e-20,8.91426324612947e-19,7.66593126899292e-19,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",18
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling","18/314","46/18870",1.0877523603908e-20,8.91426324612947e-19,7.66593126899292e-19,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",18
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","18/314","46/18870",1.0877523603908e-20,8.91426324612947e-19,7.66593126899292e-19,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",18
"GO:0090068","GO:0090068","positive regulation of cell cycle process","34/314","262/18870",1.14881320937994e-20,9.19050567503953e-19,7.90348937280186e-19,"EZH2/RRM2/SMC4/CDC25C/NCAPG/KIF14/BUB1/CDCA8/KIF23/NDC80/ECT2/DLGAP5/DTL/STIL/NCAPH/BIRC5/NCAPG2/AURKB/FBXO5/NUSAP1/CCNB1/RACGAP1/E2F7/ESPL1/ATAD5/UBE2C/RB1/CDC20/NCAPD2/RAD18/MAD2L1/GEN1/AURKA/DDX11",34
"GO:0031577","GO:0031577","spindle checkpoint signaling","18/314","47/18870",1.73668042708653e-20,1.32947782100504e-18,1.14330094569512e-18,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",18
"GO:0033044","GO:0033044","regulation of chromosome organization","33/314","247/18870",1.74098286083993e-20,1.32947782100504e-18,1.14330094569512e-18,"TOP2A/CENPF/SMC4/CENPE/NCAPG/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/NCAPH/BIRC5/NCAPG2/AURKB/TACC3/FBXO5/KNTC1/CCNB1/TTK/ESPL1/UBE2C/RB1/CDC20/NCAPD2/MAD2L1/TRIP13/GEN1/ZWILCH/DKC1/DDX11/MAD2L2",33
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","19/314","56/18870",2.24873595194859e-20,1.67905617745495e-18,1.44392519019857e-18,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",19
"GO:0006261","GO:0006261","DNA-templated DNA replication","27/314","161/18870",1.44724565450621e-19,1.05711856503062e-17,9.09082224626899e-18,"BRCA2/BARD1/MMS22L/PRIM2/BRCA1/ORC6/PCNA/FBXO5/EME1/GMNN/BLM/POLQ/E2F7/RFWD3/LIG1/GINS1/POLA1/ATAD5/CDC45/POLE2/RFC3/PRIM1/GEN1/RFC5/MCM2/GINS2/DDX11",27
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","27/314","163/18870",2.02053704909394e-19,1.44446903935227e-17,1.24218907049561e-17,"TPX2/CENPE/CDCA8/KIF4A/KIF23/NUF2/SPC25/NDC80/DLGAP5/STIL/PRC1/BIRC5/AURKB/TACC3/NUSAP1/CCNB1/TTK/RACGAP1/WDR62/STMN1/ESPL1/CDC20/BORA/MAD2L1/SMC1A/MZT1/AURKA",27
"GO:0051784","GO:0051784","negative regulation of nuclear division","19/314","63/18870",2.92340050872644e-19,2.04638035610851e-17,1.75981017466098e-17,"CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",19
"GO:0045787","GO:0045787","positive regulation of cell cycle","36/314","334/18870",4.17863212487019e-19,2.86534774276813e-17,2.46409133894064e-17,"EZH2/RRM2/SMC4/CDC25C/NCAPG/KIF14/BRCA2/BUB1/CDCA8/KIF23/NDC80/ECT2/DLGAP5/DTL/STIL/NCAPH/BIRC5/NCAPG2/AURKB/FBXO5/NUSAP1/CCNB1/RACGAP1/E2F7/ESPL1/ATAD5/UBE2C/ASCL1/RB1/CDC20/NCAPD2/RAD18/MAD2L1/GEN1/AURKA/DDX11",36
"GO:0007051","GO:0007051","spindle organization","29/314","202/18870",5.31051336748057e-19,3.56866498294694e-17,3.06891772499666e-17,"ASPM/TPX2/CENPE/CDCA8/KIF4A/KIF23/NUF2/SPC25/NDC80/DLGAP5/TUBB/STIL/PRC1/BIRC5/AURKB/TACC3/FBXO5/CCNB1/TTK/RACGAP1/WDR62/STMN1/ESPL1/CDC20/BORA/SMC1A/KNSTRN/MZT1/AURKA",29
"GO:0007052","GO:0007052","mitotic spindle organization","24/314","130/18870",1.56726280987823e-18,1.03254961591977e-16,8.87953852036271e-17,"TPX2/CENPE/CDCA8/KIF4A/KIF23/NUF2/SPC25/NDC80/DLGAP5/STIL/PRC1/BIRC5/AURKB/TACC3/CCNB1/TTK/RACGAP1/WDR62/STMN1/CDC20/BORA/SMC1A/MZT1/AURKA",24
"GO:2001251","GO:2001251","negative regulation of chromosome organization","21/314","94/18870",3.59429067832257e-18,2.32246474599305e-16,1.99723237084928e-16,"TOP2A/CENPF/BUB1/CDCA8/NUF2/SPC25/NDC80/BUB1B/BIRC5/AURKB/FBXO5/KNTC1/CCNB1/TTK/ESPL1/CDC20/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",21
"GO:1905820","GO:1905820","positive regulation of chromosome separation","13/314","29/18870",3.12895575861252e-16,1.98363987715813e-14,1.70585572142828e-14,"SMC4/NCAPG/CDCA8/DLGAP5/NCAPH/BIRC5/NCAPG2/AURKB/ESPL1/UBE2C/RB1/CDC20/NCAPD2",13
"GO:0008608","GO:0008608","attachment of spindle microtubules to kinetochore","15/314","49/18870",1.40791831451761e-15,8.76038062366516e-14,7.5335979987346e-14,"CENPE/CDCA8/NUF2/SPC25/NDC80/ECT2/BIRC5/AURKB/KNTC1/CCNB1/RACGAP1/KIF2C/RB1/KNSTRN/ZWILCH",15
"GO:0051310","GO:0051310","metaphase chromosome alignment","17/314","96/18870",3.55356103566039e-13,2.17090274178525e-11,1.86689474505029e-11,"CENPF/CENPE/KIF14/CDCA8/NUF2/SPC25/NDC80/ECT2/BIRC5/AURKB/KNTC1/CCNB1/RACGAP1/KIF2C/RB1/KNSTRN/ZWILCH",17
"GO:0050000","GO:0050000","chromosome localization","18/314","116/18870",7.59543956340164e-13,4.55726373804099e-11,3.91907548901081e-11,"CENPF/CENPE/KIF14/CDCA8/NUF2/SPC25/NDC80/ECT2/DLGAP5/BIRC5/AURKB/KNTC1/CCNB1/RACGAP1/KIF2C/RB1/KNSTRN/ZWILCH",18
"GO:1903046","GO:1903046","meiotic cell cycle process","23/314","214/18870",1.40990452758871e-12,8.31101616262817e-11,7.14716145564358e-11,"TOP2A/ASPM/SMC4/CDC25C/BRCA2/BRIP1/NUF2/NDC80/NCAPH/FBXO5/EME1/TTK/MND1/ESPL1/FANCA/CDC20/NCAPD2/RAD54L/TRIP13/PSMC3IP/HFM1/AURKA/FANCD2",23
"GO:0051303","GO:0051303","establishment of chromosome localization","17/314","108/18870",2.62379649664405e-12,1.51999245322828e-10,1.30713636720289e-10,"CENPF/CENPE/KIF14/CDCA8/NUF2/SPC25/NDC80/ECT2/BIRC5/AURKB/KNTC1/CCNB1/RACGAP1/KIF2C/RB1/KNSTRN/ZWILCH",17
